Datasets	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1
Teicoplanin resistance in Staphylococci	0.67367554	0	0	1.3283702	0	0	0	0	4.4106607	0	0
Vancomycin resistance. VanT serine racemases	0.67367554	2.9294407	3.6247907	1.3283702	2	2.2881021	7.9349527	40.13018	38.813812	25.521093	12.115757
Ectoine synthesis	0.67367554	0	0.90619767	0	0	0	0	0	0	2.1875222	1.5144696
Hyaluronic Acid-containing Cell Walls	0	0	0	0	0	0	0.610381	0	1.7642642	0	0
Protein-O-mannosyltransferase and 16S rRNA (cytidine(1402)-2'-O)-methyltransferase cluster	0	0	1.8123953	0.6641851	1	0	2.441524	0	2.6463964	9.479263	0.7572348
Galactosamine Substituent of Arabinogalactan in Mycobacteria	0	0	0.45309883	0	0	0	1.220762	0.62703407	0.8821321	1.4583482	0
Mycobacterial signal transduction system MprAB required for persistent infections	0	0	0.45309883	0	0	0	0	0.62703407	0	4.3750443	0
Biofilm formation in Staphylococcus	0	0	0	0	0	0	1.220762	0	0.8821321	0	0
DNA recombination. archaeal	0	0	0	0	0	0	0	0	26.463964	155.31409	0
Potential DNA repair cluster	0	1.9529605	0.45309883	1.9925554	3	0.7627007	1.220762	1.8811021	0	1.4583482	0.7572348
DNA topoisomerases. Type II. ATP-dependent	0	0	0	0	0	0.7627007	0	0	29.992493	134.16803	0
Methanogenesis from methylated compounds	0	0	0.90619767	0	0	0	0	0	29.992493	163.33499	0.7572348
Anaerobic respiratory complex QmoABC	0	0	1.8123953	1.9925554	0	0	0	0	0	0	0
Heme O and Heme A biosynthesis (with selected terminal oxidases)	0	0.97648025	0.90619767	0	0	4.5762043	2.441524	16.92992	2.6463964	1.4583482	26.50322
Tetrathionate respiration	0	0	29.451424	0.6641851	1	0.7627007	0	0.62703407	4.4106607	8.020915	0.7572348
Coenzyme F420 hydrogenase	0	0	0	0	0	0	0	0	38.813812	181.56435	0
H2:CoM-S-S-HTP oxidoreductase	0	0	0	0	0	0	0	0	0.8821321	2.1875222	0
Archaeal membrane bound hydrogenases	0	0	0	0	0	0	0	0	54.692192	326.66998	0
Mebrane bound hydrogenases	0	0	0	0	0	0	0	0	50.281532	293.85715	0
NAD-reducing [NiFe] hydrogenase HoxFUYH(E)	0	0	0.90619767	0	0	0	1.220762	1.8811021	0.8821321	2.9166963	0
NADP-reducing [FeFe]-hydrogenase	0	0	14.499163	13.283703	0	0	0.610381	0.62703407	3.5285285	1.4583482	8.329583
Tmc complex	0	1.9529605	0	0	0	0	4.883048	0	0	1.4583482	7.572348
ABC transporter of unknown substrate X	0	4.882401	3.171692	0.6641851	0	0	0	0	2.6463964	0	0
alpha-glucoside ABC transporter	0	0.97648025	0	0	0	0	0.610381	1.2540681	0	0	0.7572348
Copper transport and blue copper proteins	0	6.8353615	1.3592966	0	1	0	0	0	0	0	0
DevBCA efflux pump transporter (of ABC type) cyanobacterial	0	0.97648025	0.45309883	1.3283702	0	0.7627007	2.441524	1.8811021	0.8821321	0.7291741	0
Mycobacterial lipid and multidrug efflux system proteins MmpL. MmpS	0	0	0	0	2	0	0	0	0	0	0.7572348
Sarcosine oxidases. monomeric and heterotetrameric	0	0	0	0.6641851	0	0	0.610381	1.2540681	0	0	0
Lysine Biosynthesis via alpha-aminoadipate AAA	0	0	0	0.6641851	0	0.7627007	2.441524	1.2540681	0	0	0
Tricarballylate Utilization	0	0	0	1.3283702	0	0	0	0	0	0	0.7572348
RuBisCO operon	0	0	1.3592966	1.9925554	0	0	0	0.62703407	0	0	0
D-galacturonate utilization. oxidative pathway	0	0	0	0	0	0	0	0.62703407	0	2.9166963	0
Coenzyme B synthesis	0	0	0	0.6641851	0	0	0	0.62703407	32.63889	234.79405	0
Coenzyme F420 synthesis	0	0	0	0	0	0	0	0	122.61636	625.63135	0
Methanofuran biosynthesis	0	0	0	0	0	0	0	0	37.04955	282.19037	0
Mycofactocin system cluster	0	0	0.45309883	0	0	0	1.831143	0.62703407	0	0	0
Riboflavin. FMN and FAD biosynthesis in Archaea	0	0	0.45309883	0	0	0	0	0	101.4452	518.44275	0
Mycobacterial heme acquisition system	0	0	0.45309883	1.3283702	0	0	0	0	0	2.1875222	0
Mycobacterial HadABC proteins ((3R)-hydroxyacyl-ACP dehydrates of FASII)	0	0	0.45309883	0.6641851	0	0	0	0	1.7642642	0	0
Phosphonate (phosphite) dehydrogenase	0	0	0	0	0	0	0	0	0	1.4583482	0
Sulfurtransferase and Ssec cluster	0	0	0	0	0	0	1.220762	0	0.8821321	0	0
Archease	0	0	0	0	0	0	0	0	14.114114	55.417233	0
Mycobacterial FadE proteins Acyl-CoA dehydrogenase	0	1.9529605	0	0	0	0.7627007	1.831143	0	0	0	0
Nicotinate catabolism. anaerobic	0	0	1.8123953	21.253923	0	0	2.441524	3.7622042	7.057057	0	5.300644
Prefoldin	0	0	0	0	0	0	0	0	21.171171	109.376114	0
N.N'-diacetylbacillosamine	0	0	0.45309883	1.3283702	1	0	0	0	0	0	0
Diphthamide biosynthesis	0	0	0	0	0	0	0	0	37.04955	173.54343	0
Twin-arginine translocation system related cluster	0	1.9529605	6.343384	1.3283702	0	0.7627007	4.272667	9.405511	6.174925	8.020915	0
Ribosome LSU. eukaryotic and archaeal	0	0	0	0	0	0	0	0	188.77628	1098.8654	0
Ribosome SSU. eukaryotic and archaeal	0	0	0	0	0	0	0	0	184.36562	998.9685	0
Translation elongation factors. eukaryotic and archaeal	0	0	0	0	0	0	0	0	37.04955	237.71075	0
Translation initiation factors. eukaryotic and archaeal	0	0	0	0	0	0	0	0	92.62387	478.3382	0
Sigma54-dependent transcription related gene cluster 2	0	0	0.90619767	0.6641851	0	0	1.831143	1.8811021	1.7642642	0	0
Box C-D RNA-guided RNA methyltransferase	0	0	0	0	0	0	0	0	28.228228	152.39738	0
Exosome	0	0	0	0	0	0	0	0	36.16742	157.5016	0
mRNA 3-end processing factor containing cluster	0	0	0	0	0	0	0	0	0	4.3750443	0
Ribonuclease P. archaeal and eukaryal	0	0	0	0	0	0	0	0	37.04955	187.39774	0
Ribosome biogenesis. archaeal	0	0	0	0	0	0	0	0	72.33484	346.3577	0
tRNA splicing	0	0	0	0	0	0	0	1.2540681	29.110361	140.00142	0
RNA polymerase. archaeal	0	0	0	0	0	0	0	0	116.441444	602.2978	0
RNA polymerase. archaeal initiation factors	0	0	0	0	0	0	0	0	29.110361	164.06416	0
Transcription elongation factors. archaeal	0	0	0	0	0	0	0	0	41.46021	276.357	0
Bacillus subtilis yydFGHIJ operon	0	0	0	0	0	1.5254014	0	0	0	0	0
Gallic acid utilization	0	0	0	0	0	1.5254014	0	0	0	0.7291741	0
Thiazole.oxazole-modified microcins	0	0	0	0	0	0	18.31143	17.556953	0.8821321	0	0
Quinolone (Fluoroquinolone) resistance via Pentapeptide repeat proteins	0	0.97648025	3.171692	2.6567404	0	0.7627007	0.610381	1.2540681	9.703453	0	0
Zwittermicin A resistance	0	0	0	0	0	0	2.441524	0.62703407	0	0	0
Stress response and cell wall lysis cluster	0	0.97648025	1.8123953	0	1	0.7627007	4.272667	1.2540681	0	0.7291741	3.0289392
Ectoine. hydroxyectoine uptake and catabolism	0	0.97648025	0	0	0	0.7627007	0	0.62703407	0	1.4583482	0
Glycine betaine synthesis from choline	0	0	0.45309883	2.6567404	1	0.7627007	0	0	0.8821321	0	3.0289392
Pore-forming cytolytic toxins	0	0	0	0	0	0	0	0	2.6463964	0	0
